GIMAP2	0.011089366
SIRPG	0.01108742
DCSTAMP	0.01108625
CCSER1	0.011045013
GALNT17	0.011044031
FRMPD3	0.011024276
ACKR3	0.010997447
MRLN	0.010992267
VEPH1	0.010942934
PTPRZ1	0.010942192
STYK1	0.010924646
SH3GL2	0.010915316
RASGRP3	0.010900162
KLHL4	0.010876538
TSPAN1	0.010862485
CRABP1	0.010831675
LONRF2	0.010819042
CERS4	0.010799887
SLC1A1	0.010798101
HLA-DRB5	0.0107921
B4GALNT3	0.010783591
SYNPO2L	0.010748861
PPP1R14C	0.010748351
TCEAL5	0.010746647
TGFA	0.010721928
PKIB	0.010721288
GCNT2	0.010692045
RYR1	0.010663476
TMEM132B	0.010663409
KRT13	0.010660359
ZNF610	0.01063495
TCAP	0.010589241
FGG	0.010577788
TMEM253	0.010576582
SFRP5	0.010570784
TENM1	0.010568807
IL36RN	0.010548442
CYP46A1	0.010474112
CD72	0.010471474
BICDL2	0.010469147
TMEM178B	0.010453304
FRRS1L	0.010443308
PRAME	0.010441553
RGS11	0.010422547
CCL2	0.010381023
TAGLN3	0.010356373
DKK2	0.01035439
IFI30	0.010343027
CUBN	0.010341144
GPR84	0.010307399
PCSK1N	0.010306962
KLHDC9	0.010256638
INSYN1	0.010256474
PPP1R36	0.010223998
SERPINA9	0.01021764
KLRC3	0.010203387
DNAJC25-GNG10	0.010187461
MYRIP	0.010186548
ICA1	0.010184927
BAIAP3	0.010173227
UNC80	0.010172544
UPK1A	0.01016738
TGM5	0.010153643
BRSK1	0.010149605
MFRP	0.010144333
CLIC5	0.010117663
ATP2B2	0.01011519
CERS1	0.010106423
CNTFR	0.010060591
SLC17A8	0.010056351
PCDH19	0.01005332
CCND2	0.010044041
WDR72	0.009979331
RNF224	0.009977298
TUNAR	0.009966335
CALHM6	0.00996556
NCALD	0.00993804
PCDHA12	0.009849384
NDP	0.009847724
SYCP2L	0.009845415
NUP210	0.009843057
IL32	0.009826131
COLGALT2	0.009816456
PLEKHS1	0.009815972
HRK	0.009811655
DGKI	0.009797955
TRIM74	0.009795639
TSACC	0.009792107
C11orf96	0.009752879
TSGA10	0.009751827
RERG	0.009748232
CTNND2	0.009743843
KLHL6	0.009711743
SUSD3	0.009705526
CLIC2	0.009677975
SLC2A2	0.009668203
SPINK1	0.009660442
IGSF1	0.009650075
ADORA2A	0.009637663
JCAD	0.009614556
STMN2	0.009608406
TNFSF13B	0.00960765
C19orf38	0.009598105
MMP10	0.009584243
ZBBX	0.009570751
NKD2	0.00956835
F11R	0.00956754
TMEM86A	0.009554034
DIO3	0.009544772
TCIM	0.00953239
ZNF559-ZNF177	0.009517293
PLCXD3	0.009512696
SLC24A4	0.009503052
SLC6A12	0.009496088
NTRK2	0.009491029
FBXL16	0.009480009
PLAAT3	0.009466022
TMEM35A	0.009456926
CCND1	0.009450316
ADGRG5	0.009417075
RASGRP2	0.009415096
GRIN2A	0.009410827
ACE	0.009379746
ABLIM2	0.009373127
GABRE	0.009368682
HAS2	0.009365864
DAPK1	0.009360702
COL24A1	0.009347614
TESC	0.009335637
HTR2A	0.009309199
PODXL2	0.009246478
PRCD	0.009234327
KRT79	0.009214184
COL28A1	0.009210399
EXTL1	0.009191971
CGREF1	0.009188636
TPBGL	0.009173723
PRPH	0.009164124
KLHL30	0.009161942
PDGFB	0.009161339
NPNT	0.009159442
CRYM	0.009156868
PRODH	0.009152476
PDZD4	0.009140461
TPRG1	0.009128769
PROM1	0.009120244
SP5	0.009118547
KLK14	0.00910995
NPY1R	0.009101713
SCUBE1	0.009027266
IGFBPL1	0.009018902
CDK18	0.009012895
TP63	0.009009173
KLRG1	0.008990666
ADAM28	0.00897549
FUCA1	0.008928432
RETREG1	0.008918245
ADAMTS19	0.00890534
TNFSF9	0.008904045
ITGAX	0.008900737
BTG2	0.008880797
TNFRSF10C	0.008841375
VIPR1	0.008826373
KRT3	0.008791381
AK4	0.008767448
